m0_binning   41  200  600  10
m12_binning  27  140  400  10
NscanPoints  1107
    m0    m12      Xsec     n_sig    n_sb    n_sig_sl   n_sb_sl  n_sig_ldp  n_sb_ldp
   200    140      62.510    117    115     24     21     24     25
   200    150      44.630    122     80     34     13     15     26
   200    160      33.610    145     94     31     33     24     25
   200    170      25.230    155     99     47     27     26     23
   200    180      19.100    158     98     44     25     24     17
   200    190      14.810    181     92     39     32     18     21
   200    200      11.510    229     93     53     19     27     23
   200    210       9.020    212     72     43     25     19     25
   200    220       7.157    197     70     48     18     34     14
   200    230       5.732    178     67     67     19     30     18
   200    240       4.535    188     55     67     22     35     22
   200    250       3.763    175     51     77     21     21     11
   200    260       3.048    157     49     65     17     25     15
   200    270       2.553    152     33     66     11     18     10
   200    280       2.108    144     37     60     15     22     16
   200    290       1.793    156     44     64     12     24     13
   200    300       1.512    161     18     75     13     26      9
   200    310       1.293    123     23     56     10     25     12
   200    320       1.127    111     27     51     15     15      9
   200    330       0.982    132     22     58      9     16     12
   200    340       0.854    100     15     45     10     12     10
   200    350       0.754     78     19     32      5     16      4
   200    360       0.675     92     11     51     14     15      3
   200    370       0.597     82     10     46      7     10      5
   200    380       0.530     77      8     38      5     23      3
   200    390       0.484     85     11     34      5     14      7
   200    400       0.432     69      7     36      3     20      2
   210    140      59.510    133    124     34     29     29     33
   210    150      43.190    124    104     18     33     26     30
   210    160      32.220    157    110     38     33     15     28
   210    170      24.560    166     98     41     34     23     26
   210    180      18.470    184     77     47     30     21     21
   210    190      14.160    170    100     71     27     22     23
   210    200      11.200    194     83     52     24     21     17
   210    210       8.762    238     80     58     19     18     30
   210    220       6.998    240     85     43     19     24     29
   210    230       5.576    215     75     52     22     24     20
   210    240       4.413    205     73     68     26     26     13
   210    250       3.621    192     44     72     20     19     12
   210    260       2.939    190     54     73     15     23     18
   210    270       2.448    185     38     72     14     27      9
   210    280       1.999    157     36     74     13     24     23
   210    290       1.662    165     42     79     20     14     14
   210    300       1.384    151     27     63     12     17     13
   210    310       1.166    169     22     58     10     26     12
   210    320       0.991    133     25     67     18     23      7
   210    330       0.841    135     22     46      5     35      8
   210    340       0.723    141     13     53      7     20      8
   210    350       0.626    107     25     42      6     28      4
   210    360       0.544     94     17     50      6     13      4
   210    370       0.475    111     18     62      9     12      6
   210    380       0.417     93     14     47      9     12      6
   210    390       0.365     94      7     42      5     13      5
   210    400       0.324     94      9     57      4     16      5
   220    140      57.630    151    137     19     35     18     30
   220    150      42.480    177    135     25     25     33     27
   220    160      31.140    143    104     28     25     23     25
   220    170      23.750    174     89     32     34     24     30
   220    180      17.960    159     97     47     45     21     34
   220    190      13.870    191     95     65     35     24     27
   220    200      10.940    191     87     61     30     39     25
   220    210       8.607    207     83     68     31     22     17
   220    220       6.745    236     76     66     27     29     13
   220    230       5.412    189     68     66     17     25     23
   220    240       4.345    204     68     53     16     20     14
   220    250       3.506    253     56     56     22     29     13
   220    260       2.857    222     59     72     15     34     19
   220    270       2.350    214     40     62     11     19     18
   220    280       1.918    185     43     86     19     24     17
   220    290       1.603    188     38     70     14     17     13
   220    300       1.338    190     40     61     11     22     14
   220    310       1.107    155     25     80     10     22     15
   220    320       0.938    169     24     83     18     16     15
   220    330       0.799    139     19     85     11     12     10
   220    340       0.670    159     31     74     10     23     12
   220    350       0.584    134     26     69     13     16      9
   220    360       0.498    132     14     56      6     24      7
   220    370       0.428    126     14     57     12     21      8
   220    380       0.370    107     19     59     13     27      4
   220    390       0.325    111     18     54     14     21      3
   220    400       0.282    119     11     52      4     13      4
   230    140      55.850    146    126     18     20     38     36
   230    150      41.210    154    130     33     28     31     38
   230    160      30.200    179    133     35     33     21     32
   230    170      22.890    172    125     44     30     33     28
   230    180      17.400    199    101     57     38     29     30
   230    190      13.530    212     73     60     32     21     23
   230    200      10.670    204     85     78     30     26     16
   230    210       8.257    196     83     84     29     22     24
   230    220       6.526    208     83     71     28     24     19
   230    230       5.274    226     65     72     25     29     18
   230    240       4.191    222     71     72     19     28     19
   230    250       3.398    233     61     56     12     20     14
   230    260       2.785    251     48     64     25     36     11
   230    270       2.253    232     59     55     16     21     18
   230    280       1.869    215     37     75     15     25     19
   230    290       1.529    211     41     62     16     32      7
   230    300       1.298    181     34     76     13     22     16
   230    310       1.076    174     29     79     15     18     16
   230    320       0.900    152     30     57     15     26     15
   230    330       0.755    159     25     73     19     23     17
   230    340       0.643    165     19     60      7     23     14
   230    350       0.549    139     25     61      9     21      7
   230    360       0.472    122     16     64     12     19      3
   230    370       0.400    138     17     55     13     12      6
   230    380       0.349    125     11     68      6     22     11
   230    390       0.299     96     12     61     11     10      6
   230    400       0.264    115     14     63     10     16      8
   240    140      53.920    141    147     21     28     35     34
   240    150      39.350    158    162     23     27     29     60
   240    160      29.510    181    136     39     32     35     35
   240    170      22.230    176    120     56     40     24     36
   240    180      16.780    196    110     57     43     31     44
   240    190      13.190    201    115     64     32     26     18
   240    200      10.280    203     88     78     48     27     25
   240    210       8.075    211     95     82     31     33     17
   240    220       6.383    237     85     78     27     32     22
   240    230       5.178    217     62     87     33     34     14
   240    240       4.097    202     74     92     37     27     16
   240    250       3.364    243     57     71     22     23     20
   240    260       2.710    222     42     72     21     29     16
   240    270       2.237    259     49     80     14     33     24
