m0_binning   50  10  500  10
m12_binning  26  100  350  10
NscanPoints  1300
    m0    m12      Xsec     n_sig    n_sb    n_sig_sl   n_sb_sl  n_sig_ldp  n_sb_ldp
    10    100    9785.000      0      1      0      0      0      0
    10    110    3860.000      0      0      1      0      0      0
    10    120     319.800      6     11      0      8      1      7
    10    130     171.400     18     17      2      4      0      5
    10    140     111.800     18     35      5     13      2     14
    10    150      75.470     20     28      4      8      1     12
    10    160      53.870     26     30      8     16      4     13
    10    170      39.470     44     63      6     16      3     11
    10    180      28.960     44     34     10     14      3     12
    10    190      21.550     61     43     24      8     11     17
    10    200      16.460     70     41     25     26      5     13
    10    210      12.640     87     52     22     22      9     15
    10    220       9.721     93     41     30     25     13     14
    10    230       7.662    130     47     54     19     15     19
    10    240       6.151    113     40     61     15      9     13
    10    250       4.864    139     51     54     22     13     14
    10    260       3.907    147     54     72     26      8     13
    10    270       3.141    186     45     94     21      7     15
    10    280       2.541    176     38     83     20      9     12
    10    290       2.098    206     44     86     24     10     19
    10    300       1.719    206     42     95     23     20     15
    10    310       1.400    204     39    127     23     24     19
    10    320       1.180    215     50    120     23     19     16
    10    330       0.975    248     31    129     15     25     12
    10    340       0.818    229     32    113     25     24     18
    10    350       0.688    229     32    120     24     15     15
    20    100    9618.000      0      1      0      0      0      0
    20    110    3821.000      1      5      0      0      0      0
    20    120     311.200      6     13      2      4      1      2
    20    130     168.300     14     24      3      6      2      8
    20    140     110.100     15     37      3      9      2     10
    20    150      74.600     27     42      3     13      3      1
    20    160      54.350     24     36      5      9     11     12
    20    170      38.970     38     49      9     10      4     13
    20    180      28.590     39     37     13     15      1     15
    20    190      21.620     64     50     17     12      8     18
    20    200      16.400     81     39     19     17      3     16
    20    210      12.610     77     37     28     10     10     17
    20    220       9.831    101     43     28     17     16     15
    20    230       7.647    117     49     40     17      7     15
    20    240       6.056    139     36     46     25     11     17
    20    250       4.842    130     50     50     29     15     17
    20    260       3.882    151     49     63     31      8     16
    20    270       3.116    172     32     65     21      7     17
    20    280       2.528    191     38     98     22     13     26
    20    290       2.073    158     38     98     23     13     15
    20    300       1.708    198     46    115     29     15     19
    20    310       1.389    203     40    122     23     12     19
    20    320       1.173    210     51    126     31     25     16
    20    330       0.964    207     29    124     27     21     12
    20    340       0.819    230     40    136     29     17     21
    20    350       0.690    238     27    130     27     18     19
    30    100    9373.000      0      0      0      0      0      0
    30    110    3743.000      0      1      0      0      0      1
    30    120     309.200     10     12      2      7      0      9
