Nm3jbins 5
m0_binning   41  200  600  10
m12_binning  27  140  400  10
NscanPoints  1107
    m0    m12      Xsec     nsel    n_a    n_d      sb1     sb2     sb3     sb4     sb5  slmsb1  slmsb2  slmsb3  slmsb4  slmsb5   slsb1   slsb2   slsb3   slsb4   slsb5  slsig1  slsig2  slsig3  slsig4  slsig5
   200    140      62.510    899    162    199       72     148     183      94      29      15      28      37      15       6      11      34      37      12       6      16      48      75      27      12 
   200    150      44.630   1008    151    188       77     107     183      76      30      13      18      35      15       6      14      21      50      19      11      27      47      79      46      15 
   200    160      33.610   1045    125    205       58     109     159     106      21      10      31      29      22       9      21      38      43      20      14      42      59      93      41      29 
   200    170      25.230   1145    109    217       46     120     145      68      35      12      24      34      10       6      18      33      39      31      10      30      68     113      64      22 
   200    180      19.100   1084    105    195       58      78     137      83      27       7      20      38      18       5      16      19      39      23      11      31      55     110      62      32 
   200    190      14.810   1244     81    205       49      83     115      71      32       9      14      25      15      11      15      18      30      20       8      29      57     103      60      32 
   200    200      11.510   1331     87    240       40      75     108      66      23      10       7      20      10       5      10      16      29      17      10      28      52      86      73      20 
   200    210       9.020   1321     68    220       28      55      91      62      27       8       8      17      10       6       2      12      24      21       8      28      42     107      58      30 
   200    220       7.157   1213     61    205       36      55     103      59      30       2       9      20       7       1       9      12      32      17       9      35      56     120      74      43 
   200    230       5.732   1191     68    205       27      55      86      58      23       7      10      19      19       6      15      15      31      15      11      31      60     129      84      50 
   200    240       4.535   1090     59    234       33      43      75      53      22       7      12      16      10      10      17      13      29      13      15      46      75     131      72      49 
   200    250       3.763   1033     57    188       20      33      67      48      26       7      10      16       7      12       9      17      22      28       8      59      59     130      88      53 
   200    260       3.048   1031     53    173       18      38      72      43      18       9      12      17      11       7       6      10      26      14       7      45      61     126      92      36 
   200    270       2.553    984     54    194       23      37      68      29      23       6      10      10       8       8       4      11      12      10      12      36      65     133      86      46 
   200    280       2.108    928     52    168       16      26      54      36      11       3      10      10       9       4       7      14      23      17      10      34      54     136      90      57 
   200    290       1.793    912     47    168        8      26      48      31      16       4       8       7       8       1       7      10      18      14       7      30      64     134      78      49 
   200    300       1.512    803     36    149       16      24      42      31      15       6       8      13       8       6       2       8      13      11      13      41      48     119      70      70 
   200    310       1.293    778     39    170        7      21      37      23       7       3       5      10      11       0       5      13      15      11       5      39      56     118      66      49 
   200    320       1.127    725     38    175        8      20      30      29      22       4       5       8       9       4       8       6      21      10      12      33      54     105      84      56 
   200    330       0.982    755     22    142        7      16      37      22      17       1       2       7       5       5       6       9      12       5       7      26      53      74      86      55 
   200    340       0.854    651     25    135        9       9      26      14      15       4       5       6       3       5       1       3       8       3       6      34      50      86      72      44 
   200    350       0.754    588     19    112        6      10      18      15      22       2       3       8       8       4       5       9      14       8       3      29      36      79      70      49 
   200    360       0.675    612     23    115        8      10      22      10      12       5       4       7      10       3       3       4      12       5       4      25      30      96      80      44 
   200    370       0.597    538     22     92        8       9      21      14       9       2       1       3       6       5       0       6      10       4       6      27      27      86      49      41 
   200    380       0.530    487     23    111        3       6      13      10       9       1       2       4       4       2       3       8       4       8       0      27      34      80      52      30 
   200    390       0.484    488     20     96        3       9      12      14      14       0       4       2       3       1       1       1       6       3       4      16      26      54      57      42 
   200    400       0.432    462      9     92        3       6       9      12       8       2       3       5       5       2       4       2       5       2       6      21      24      54      45      31 
   210    140      59.510    891    188    205       87     169     232      83      31      18      34      36       8       6       8      31      41      22      15      15      55      59      29      19 
   210    150      43.190    954    135    203       68     119     202      95      41      15      26      38      19       7      12      45      54      24       3      27      38      91      40      17 
   210    160      32.220   1122    128    198       49     121     176      85      31      16      26      22      11       4      19      25      47      21       6      29      45     104      44      27 
   210    170      24.560   1136    115    226       58     100     162      87      37      12      27      41      12       8      19      25      49      21       8      48      59     126      59      29 
   210    180      18.470   1228    116    235       59      99     133      63      34      11      14      42      17       8      17      24      49      18       7      39      83     136      69      29 
   210    190      14.160   1213     90    215       51      88     145      66      33      13      20      28      19      11      15      22      40      22       9      51      79     136      69      32 
   210    200      11.200   1296    101    203       38      67     106      62      30      12      11      22      11       4      12      14      51      19      15      35      63     134      59      33 
   210    210       8.762   1344     75    219       26      54     111      56      23       8      10      26      12       8      10      25      29      18       6      43      64     103      62      32 
   210    220       6.998   1400     67    214       25      63      91      58      23       6       9      15       7       5       7      15      15      11       9      40      66      87      68      33 
   210    230       5.576   1319     76    202       35      39      82      53      25       6      10      13       7       6       7      13      24      13      13      33      59     102      72      44 
   210    240       4.413   1257     71    206       25      39      69      46      23       4       7      19       9       3       8      14      18      15       8      39      73     110      72      45 
   210    250       3.621   1173     52    200       24      37      66      45      21       4       7      15       5       9       8      10      31      17       7      38      60     125      98      42 
   210    260       2.939   1148     72    204       22      29      62      41      18       4      10      14       4       1       6      21      25      10       7      46      68     119      86      52 
   210    270       2.448   1012     50    211       19      49      47      39      22       3       7      18       6       7       5      14      28      17       7      42      60     132      92      70 
   210    280       1.999   1028     55    207       17      39      42      34      22       4       5      11      10       7       6       8      16      11       9      49      63     144      91      49 
   210    290       1.662    992     47    180       16      29      43      26      26       3      10      15      10       4      11      13      17      17       8      46      70     138      77      55 
   210    300       1.384    999     38    188       13      33      42      25      11       2       6      13       9       5       3       3      20      16       7      36      68     123      99      51 
   210    310       1.166    951     29    186       18      19      38      27      21       4       4      12       7       5       2      16      16      15       6      44      50     117      88      56 
   210    320       0.991    835     28    185       13      14      42      24      14       7       8      13       4       3       3      11      11      10       8      34      66     127      82      58 
   210    330       0.841    792     36    170       12      19      35      17      10       2       2      12       5       7       4       7      15       5       5      32      55     131      88      47 
   210    340       0.723    765     26    162        9      20      25      17      16       2       3      10       4       3       6       3      19       7       4      35      48     102      83      55 
   210    350       0.626    693     22    144        9      15      23      22      12       2       4      11       9       6       3       5      10      10       6      29      49     107      82      41 
   210    360       0.544    673     20    122        2      13      23      14       8       1       3       2       6       1       1      14       8       6       5      27      44      91      91      67 
   210    370       0.475    712     15    130        4      16      12      11      16       3       8       8       4       3       5       5       9       8       9      31      55     109      70      55 
   210    380       0.417    659     15    120        7      12      23      19       5       4       2       9       4       3       3       0       7       5       9      22      34      89      98      50 
   210    390       0.365    588     19    112        8       6      16      10      12       4       3       5       3       3       1       6      12      10       6      34      44      89      54      50 
   210    400       0.324    582      7    119        3      10      19      10      10       1       3       4       6       2       3       6       5       8       2      28      41      83      69      47 
   220    140      57.630    980    160    236       84     166     193      83      30      16      33      30      10       4      15      41      32      21       7      28      51      68      29       9 
   220    150      42.480   1089    170    224       89     156     227     103      28      16      28      32      15      12      12      28      49      16       7      40      44      71      37      23 
   220    160      31.140   1051    160    225       56     139     166      88      42      15      24      34      21       5      14      32      49      25      10      43      57     103      30      19 
   220    170      23.750   1162    122    232       58     107     177      64      37      11      29      43      25       4      21      31      40      26       8      42      61     119      54      31 
   220    180      17.960   1152    115    232       43      91     146      76      27      11      25      40      20       2      14      37      48      25       8      49      92     127      65      32 
   220    190      13.870   1202     93    225       45      98     149      62      27      14      16      25      19       8      20      28      51      22       8      48      79     149      81      34 
   220    200      10.940   1244     99    223       43      85     120      61      34      14      10      32      15       4      18      30      33      25       7      50      75     135      71      35 
   220    210       8.607   1232     85    231       24      67     101      60      36      10      15      20       9       8      17      29      23      21       3      40      79     165      75      36 
   220    220       6.745   1308     77    209       33      68      76      60      26       5      12      26      15       6       6      22      40      18       2      42      79     107      89      39 
   220    230       5.412   1263     79    227       36      63      92      50      24       2       6      27      10       6       8      12      32      13       9      35      71     112      52      40 
   220    240       4.345   1325     63    201       31      42      94      48      29       3       3      10      12       5       6       6      22      10       7      31      48      81      66      45 
   220    250       3.506   1329     56    232       24      41      70      35      29       4       9      10      10       2       4       4      12       9       4      32      72      95      67      38 
   220    260       2.857   1225     50    222       21      41      77      36      21       3       6      15       8       7       5      12      16       9       7      33      51     126      70      38 
   220    270       2.350   1128     49    201       17      30      53      41      26       3       7      11       7      12      13      15      18      14       7      46      50     110      85      47 
   220    280       1.918   1070     43    201       13      35      49      29      17       1       9      13       5       1       5      12      16       9       9      38      72     147      97      55 
   220    290       1.603   1013     38    200       16      31      53      22      16       4       8      15       8       6      10      10      21      12       6      38      76     128      97      47 
   220    300       1.338   1037     47    207       18      19      42      22      13       4      11       8       7       5       4       8      12      12      13      48      61     129      88      47 
   220    310       1.107   1002     33    187       20      30      39      24      13       1       6       9       6       8       3      11      18       9       6      43      76     119      91      59 
   220    320       0.938    935     39    174       13      21      41      29      16       1       7       8      11       5       6       9      12      11       8      41      64     150     101      54 
   220    330       0.799    871     25    169        7      29      34      20      19       1       5      12      14       8       4      12      13       7       5      40      58     139     105      44 
   220    340       0.670    924     31    159       11      16      36      21       8       4       6       4       5       6       5       6      15       8       8      42      60     123     103      62 
   220    350       0.584    857     29    153        6      21      37      14      15       5       2       5       5       4       3       5      11       5       8      35      64      95      88      56 
   220    360       0.498    786     23    155        3      14      28      25      18       2       2       6       5       2       2       7       9       8       8      35      44      94      77      41 
   220    370       0.428    766     29    154        9      15      22      16      11       1       5       5       2       4       5      10      11       7       3      36      63     102      95      58 
   220    380       0.370    731     23    144        9      12      16      11       9       0       1       8       4       4       4       3       7       7       2      21      55     103      78      54 
   220    390       0.325    748     12    132        5      10      19       7       8       0       2       5       2       5       1       4       8       7       4      35      58      93      90      51 
   220    400       0.282    634     23    128        4      10      22      11      10       0       4       6       2       2       5       3       9       5       3      22      46      91      72      40 
   230    140      55.850    940    193    237       76     203     237      82      40      19      46      53      22       6      23      28      39      32       7      25      35      46      23      14 
   230    150      41.210   1103    186    235       69     178     215      90      32      22      27      38      14       9      20      39      48      18       6      25      57      63      33      16 
   230    160      30.200   1167    157    247       75     166     181      95      37      18      29      41      17      10      23      28      42      26      12      31      57      95      41      20 
   230    170      22.890   1212    129    279       68     132     186      81      33      10      31      35      12       8      15      35      50      30       6      39      69     121      53      24 
   230    180      17.400   1219    118    241       46     108     144      59      34       8      21      38      19      11      15      30      44      17       9      45      84     137      63      29 
   230    190      13.530   1209     95    237       44      82     129      65      34      13      20      33      18       8      16      26      52      24       8      66      99     135      70      23 
   230    200      10.670   1293     95    243       44      86     121      62      35      10      17      37      20       5      12      26      47      17       9      31      91     154      82      43 
   230    210       8.257   1235     90    225       45      70     103      47      37      12      15      29      17      12      17      32      48      20      12      54      85     157      96      35 
   230    220       6.526   1289     69    208       27      71     104      52      30       9      13      27      20       9      20      25      33       5       7      45      89     146     100      39 
   230    230       5.274   1291     69    246       29      57      89      53      30       6      11      18      11       9      17      18      44      12      10      39      83     147      99      44 
   230    240       4.191   1277     56    231       24      46      83      51      23       3      18      16       9       5      10      12      25      11       7      29      72     148      94      49 
   230    250       3.398   1371     53    208       30      49      77      46      21       6       7      16      13       6       7      14      16      16       9      37      56     101      68      30 
   230    260       2.785   1386     55    237       21      46      62      44      23       1      13       7       6       3       3      10      16      10       6      34      56     114      75      42 
   230    270       2.253   1282     55    198       25      28      58      37      13       3       6      16      12       8       4      10      10       8       2      39      49      95      84      45 
   230    280       1.869   1232     42    209       18      23      36      29      12       3       9       9      10       1       5      14       7      11       7      25      50     110      92      31 
   230    290       1.529   1143     23    240       18      33      40      30      11       3       8       5       6       3       3       7      13      16       6      44      75     129      86      45 
   230    300       1.298   1102     30    190       21      28      43      26      19       2       2       9       7       5       5       4       9      17       6      31      87     129      93      40 
   230    310       1.076   1057     40    196       14      27      36      37      19       7       6       8       7       2       0       6      16       6       7      46      69     152      92      47 
   230    320       0.900    958     25    184       12      17      37      23      14       4       7      10       4       4       1      10      19      11       3      42      49     117      93      56 
   230    330       0.755    964     43    165        7      18      28      26       8       2       6       9       6       3       0       8      14       8       2      47      68     130     104      60 
   230    340       0.643    926     32    177       13      17      29      22      16       3       4      11       6       2       2       4      15       4       9      39      56     136      79      54 
   230    350       0.549    880     16    183        9      22      28      27      10       1       7       7       7       2       1       8      10       5      11      25      54     125      89      58 
   230    360       0.472    816     24    162        7      15      31      20      10       2       7       9       4       2       8       8      14       7       2      33      57     123      87      69 
   230    370       0.400    811     24    149        9      14      25      15      12       0       5       5       2       5       1       2      10      12       2      35      64     100      78      63 
   230    380       0.349    783     22    146        9       7      22      21      13       2       7       5      10       5       4       9       5       9       5      39      52     117      74      69 
   230    390       0.299    720     24    141        5       9      26      19      12       1       3       6       4       2      10       2      11      10       4      39      52     118      96      50 
   230    400       0.264    733     21    132        5       7      19      14       7       1       3       7       3       4       2       4       9      11       4      33      49      92      80      57 
   240    140      53.920    922    215    252       94     193     224      83      32      13      49      45      13       9      23      37      48      23      11      36      44      67      31       9 
   240    150      39.350   1086    205    289       87     194     223      93      35      19      35      50      21       6      24      39      41      26       7      28      52      67      26      15 
   240    160      29.510   1176    142    289       78     160     207      88      27      20      36      43      21      14      13      50      48      25      12      39      73     101      48      20 
   240    170      22.230   1228    171    281       59     125     193      80      31      12      46      35      18      10       8      45      52      29       7      46      97     124      56      20 
   240    180      16.780   1269    110    270       60     125     161      84      30      19      18      31      18       3      15      41      48      24      11      51      74     122      74      34 
   240    190      13.190   1242    101    235       41      89     117      59      31      12      18      37      17       8      17      28      52      22      15      48      97     137      78      43 
   240    200      10.280   1247    113    252       44      75     118      62      45      10      17      39      17       7      14      23      53      22      10      60      95     171      66      29 
   240    210       8.075   1253     78    242       39      75     110      68      27       7      14      36      15       7      11      16      37      22       6      53      83     164      91      54 
   240    220       6.383   1287     87    247       31      82      75      49      36       9       8      40      12       9      17      21      30      28       4      50      87     148     100      40 
   240    230       5.178   1285     67    254       22      81      84      51      21       9      14      28       7       7       9      25      29      21       8      49      87     164     102      50 
   240    240       4.097   1292     60    214       27      51      84      45      28       4      11      24      15       7      11      25      31      17       5      58      95     151      93      38 
   240    250       3.364   1270     65    234       30      39      66      42      22       2      20      20      13       1      13      13      30      13       3      54      73     139      93      35 
   240    260       2.710   1306     62    216       23      39      63      40      21      11       5      15       6       5      10      14      20      10       2      53      76     125      76      50 
