m0_binning   41  200  600  10
m12_binning  27  140  400  10
NscanPoints  1107
    m0    m12      Xsec     nsel    n_a    n_d     sb     slsb     slsig
   200    140      62.510    273     67     59    355     66     43
   200    150      44.630    327     79     53    329     70     80
   200    160      33.610    367     71     58    369    102     69
   200    170      25.230    378     80     59    336    102    116
   200    180      19.100    390     61     75    304     95    113
   200    190      14.810    479     55     58    308     93    119
   200    200      11.510    562     71     80    303     74    117
   200    210       9.020    560     62     73    260     71    108
   200    220       7.157    512     45     73    246     75    143
   200    230       5.732    529     42     66    222     77    166
   200    240       4.535    504     52     83    215     79    170
   200    250       3.763    456     40     74    174     67    179
   200    260       3.048    434     33     64    182     60    170
   200    270       2.553    425     39     61    163     53    196
   200    280       2.108    394     35     68    167     69    169
   200    290       1.793    404     35     66    141     70    182
   200    300       1.512    375     22     59    113     43    176
   200    310       1.293    379     29     77    109     51    154
   200    320       1.127    316     24     64     97     44    163
   200    330       0.982    333     35     46    108     40    141
   200    340       0.854    300     33     45     68     34    136
   200    350       0.754    282     12     41     61     29    124
   200    360       0.675    271      9     58     63     36    136
   200    370       0.597    261     15     40     61     33    142
   200    380       0.530    224     16     46     43     26    110
   200    390       0.484    253      8     36     48     21    108
   200    400       0.432    225      6     35     39     12     93
   210    140      59.510    270     89     59    369     75     53
   210    150      43.190    296     88     58    348     93     62
   210    160      32.220    392     66     58    384     92     77
   210    170      24.560    392     85     75    341    112    107
   210    180      18.470    487     75     71    304    107    122
   210    190      14.160    479     58     74    323     79    139
   210    200      11.200    517     67     65    319    100    118
   210    210       8.762    580     77     63    265     76    138
   210    220       6.998    625     44     84    287     73    127
   210    230       5.576    577     56     62    253     69    153
   210    240       4.413    573     49     81    204     58    161
   210    250       3.621    553     42     76    185     72    172
   210    260       2.939    504     47     79    172     61    194
   210    270       2.448    474     36     88    142     54    200
   210    280       1.999    491     44     75    149     47    209
   210    290       1.662    475     28     60    131     49    209
   210    300       1.384    465     28     71    144     55    188
   210    310       1.166    445     30     79    111     52    171
   210    320       0.991    384     22     68    107     51    175
   210    330       0.841    362     20     61     86     33    158
   210    340       0.723    373     24     69     83     28    153
   210    350       0.626    338     15     76     87     35    164
   210    360       0.544    301     20     47     68     41    179
   210    370       0.475    349     19     51     86     38    165
   210    380       0.417    300     15     57     58     26    149
   210    390       0.365    312     12     45     48     30    139
   210    400       0.324    290     16     48     43     29    136
   220    140      57.630    292     88     70    407     85     50
   220    150      42.480    366     95     59    395     80     56
   220    160      31.140    344     80     71    360     87     79
   220    170      23.750    427     70     61    368    100    104
   220    180      17.960    415     81     76    329    125    142
   220    190      13.870    422     76     74    335    115    156
   220    200      10.940    509     66     78    286    100    155
   220    210       8.607    541     63     73    266    106    177
   220    220       6.745    588     48     86    256     79    167
   220    230       5.412    547     49     89    241     68    141
   220    240       4.345    616     46     73    239     59    133
   220    250       3.506    621     39     87    216     63    132
   220    260       2.857    568     36     78    183     40    186
   220    270       2.350    550     39     73    148     60    172
   220    280       1.918    527     36     80    156     53    207
   220    290       1.603    464     44     86    143     57    216
   220    300       1.338    470     31     75    138     44    192
   220    310       1.107    493     31     72    115     50    201
   220    320       0.938    452     36     66    106     62    209
   220    330       0.799    418     20     68     91     38    212
   220    340       0.670    437     29     66     98     48    189
   220    350       0.584    393     16     59     86     40    169
   220    360       0.498    376     26     62    101     28    166
   220    370       0.428    392     16     58     72     47    184
   220    380       0.370    334     14     52     80     33    170
   220    390       0.325    348     18     54     54     41    166
   220    400       0.282    324     14     42     48     23    154
   230    140      55.850    282     96     71    430     76     42
   230    150      41.210    364     98     80    465     85     63
   230    160      30.200    408    100     75    384     94    102
   230    170      22.890    449     89     81    391    108    100
   230    180      17.400    467     83     84    336    102    133
   230    190      13.530    498     67     73    271    114    143
   230    200      10.670    511     69     72    329     86    190
   230    210       8.257    501     69     69    254    104    176
   230    220       6.526    556     49     75    262     96    177
   230    230       5.274    577     54     93    256     93    183
   230    240       4.191    589     46     95    212     81    193
   230    250       3.398    640     52     81    233     48    147
   230    260       2.785    675     42    106    195     60    169
   230    270       2.253    621     47     70    167     54    148
   230    280       1.869    601     36     69    143     60    180
   230    290       1.529    566     26    104    152     42    193
   230    300       1.298    542     23     67    116     45    210
   230    310       1.076    533     36     67    126     50    191
   230    320       0.900    445     26     65    118     43    195
   230    330       0.755    480     17     69     94     49    215
   230    340       0.643    451     26     70     93     44    190
   230    350       0.549    427     11     77     97     33    188
   230    360       0.472    387     12     76     80     45    182
   230    370       0.400    407     16     60     77     29    173
   230    380       0.349    381     19     64     72     30    204
   230    390       0.299    326     16     54     75     47    182
   230    400       0.264    342     16     49     68     32    159
   240    140      53.920    282    106     75    401     82     57
   240    150      39.350    354    140     85    478     88     54
   240    160      29.510    415    103     90    404    113     83
   240    170      22.230    428    111     74    401    127    114
   240    180      16.780    472    102     77    373    108    145
   240    190      13.190    477     69     86    335    113    154
   240    200      10.280    519     75     90    303    111    191
   240    210       8.075    532     60     76    333    107    179
   240    220       6.383    538     72     86    294     96    202
   240    230       5.178    575     48     88    247    120    198
   240    240       4.097    603     43     76    240     96    202
   240    250       3.364    603     62     76    209     77    191
   240    260       2.710    640     51     83    185     70    189
   240    270       2.237    608     39     91    186     57    208
   240    280       1.821    609     31     78    182     62    163
   240    290       1.501    626     32     93    142     41    155
   240    300       1.260    633     29     62    151     56    153
   240    310       1.045    575     36     80    126     45    198
   240    320       0.872    479     27     84    110     38    209
   240    330       0.728    516     26     62     93     42    225
   240    340       0.622    462     30     68    119     34    193
   240    350       0.532    479     22     73     90     34    206
   240    360       0.450    422     14     63     96     30    180
   240    370       0.389    388     13     61     71     29    193
   240    380       0.335    438     18     53     75     28    187
